epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,4353.37,0.62282,0.46076,0.87689,0.78278,0.73228,0.73914,0.44347,1.0017,0.56561,1.03979,0.000887,0.000887,0.000887
46,4472.81,0.62365,0.46099,0.88041,0.88604,0.60448,0.72943,0.44602,0.9953,0.56363,1.03008,0.00087875,0.00087875,0.00087875
47,4599.14,0.61297,0.45273,0.87808,0.71558,0.58364,0.63886,0.37696,1.0318,0.55297,1.04127,0.0008705,0.0008705,0.0008705
48,4728.26,0.59828,0.44077,0.86805,0.74623,0.6148,0.6937,0.42982,1.01094,0.57496,1.02618,0.00086225,0.00086225,0.00086225
49,4851.44,0.61841,0.45248,0.87751,0.77559,0.65028,0.74529,0.47762,0.97442,0.49944,1.03845,0.000854,0.000854,0.000854
50,4942.18,0.59933,0.44277,0.875,0.7082,0.72213,0.74655,0.48372,1.02181,0.5234,1.05103,0.00084575,0.00084575,0.00084575
51,5043.34,0.61256,0.43296,0.87476,0.85277,0.67817,0.71664,0.47293,0.99304,0.54105,1.02395,0.0008375,0.0008375,0.0008375
52,5129.44,0.5897,0.42925,0.86618,0.837,0.72565,0.77755,0.47294,1.02557,0.56306,1.03973,0.00082925,0.00082925,0.00082925
53,5224.81,0.62182,0.44918,0.87298,0.8827,0.68456,0.77237,0.46069,1.01676,0.53163,1.05064,0.000821,0.000821,0.000821
54,5340.61,0.60278,0.43458,0.87288,0.77207,0.7493,0.78707,0.45981,1.00991,0.51493,1.04605,0.00081275,0.00081275,0.00081275
55,5439.4,0.58607,0.41766,0.86856,0.86566,0.60974,0.69308,0.41452,1.02702,0.51795,1.07441,0.0008045,0.0008045,0.0008045
56,5521.88,0.58713,0.42678,0.87197,0.82396,0.62862,0.70253,0.43657,0.99389,0.50238,1.04223,0.00079625,0.00079625,0.00079625
