epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,830.016,0.5779,0.42222,0.8556,0.82565,0.768,0.83411,0.49587,1.02896,0.46979,1.04001,0.00094475,0.00094475,0.00094475
76,840.725,0.56853,0.42494,0.85386,0.8272,0.77127,0.81062,0.48495,1.09324,0.472,1.07953,0.000940625,0.000940625,0.000940625
77,852.14,0.57039,0.41556,0.8514,0.89096,0.79733,0.85313,0.53388,1.05315,0.44098,1.04869,0.0009365,0.0009365,0.0009365
78,864.097,0.56647,0.41302,0.85221,0.78027,0.74701,0.77439,0.47152,1.06895,0.45534,1.06156,0.000932375,0.000932375,0.000932375
79,875.845,0.58505,0.41486,0.85502,0.74083,0.78513,0.80736,0.51775,1.09411,0.47761,1.07457,0.00092825,0.00092825,0.00092825
80,887.082,0.56795,0.41637,0.85741,0.91404,0.75811,0.84304,0.54686,1.06802,0.47095,1.05846,0.000924125,0.000924125,0.000924125
81,898.685,0.56219,0.39982,0.85253,0.75335,0.84476,0.84882,0.54108,1.02666,0.47145,1.05236,0.00092,0.00092,0.00092
82,910.183,0.56143,0.40688,0.85296,0.82247,0.80322,0.83145,0.52846,1.11209,0.46836,1.11606,0.000915875,0.000915875,0.000915875
83,921.887,0.56715,0.40256,0.85282,0.91178,0.73876,0.89253,0.55315,1.09095,0.46901,1.1007,0.00091175,0.00091175,0.00091175
84,932.845,0.56692,0.4068,0.85587,0.86481,0.70046,0.86243,0.55405,1.02663,0.45217,1.04366,0.000907625,0.000907625,0.000907625
85,943.881,0.56957,0.3983,0.85515,0.77651,0.76141,0.84485,0.53967,1.0625,0.47776,1.0716,0.0009035,0.0009035,0.0009035
86,954.982,0.56099,0.39792,0.84768,0.85059,0.7462,0.86067,0.55209,1.04102,0.48551,1.02057,0.000899375,0.000899375,0.000899375
87,966.4,0.53926,0.38694,0.84799,0.73992,0.75549,0.80257,0.53063,1.06579,0.47943,1.08803,0.00089525,0.00089525,0.00089525
88,976.955,0.54259,0.39207,0.85192,0.80055,0.79722,0.848,0.54628,1.07549,0.4743,1.07535,0.000891125,0.000891125,0.000891125
89,988.469,0.53729,0.39326,0.85115,0.80916,0.73056,0.78413,0.50923,1.04983,0.46879,1.03824,0.000887,0.000887,0.000887
90,999.881,0.54608,0.3966,0.84717,0.82678,0.70374,0.80103,0.53166,1.05177,0.46905,1.06159,0.000882875,0.000882875,0.000882875
91,1011.24,0.54021,0.38542,0.84016,0.821,0.75566,0.82089,0.52251,1.0647,0.48114,1.12421,0.00087875,0.00087875,0.00087875
92,1022.2,0.56393,0.38967,0.85492,0.80155,0.7715,0.83441,0.53537,1.05336,0.47007,1.10162,0.000874625,0.000874625,0.000874625
93,1033.63,0.54604,0.39458,0.8441,0.88944,0.76802,0.86863,0.54591,1.06924,0.45805,1.07134,0.0008705,0.0008705,0.0008705
